make,basemodel,model
BMW,M,M5 CS Sedan
BMW,M,M5 Sedan
BMW,M,M550i xDrive
BMW,M,M6
BMW,M,M6 Convertible
BMW,M,M6 Coupe
BMW,M,M6 Gran Coupe
BMW,M,M760i xDrive
BMW,M,M8 Competition Convertible
BMW,M,M8 Competition Coupe
BMW,M,M8 Competition Gran Coupe
BMW,M,M8 Convertible
BMW,M,M8 Coupe
BMW,M,M8 Gran Coupe
BMW,M,M850i xDrive Convertible
BMW,M,M850i xDrive Coupe
BMW,M,M850i xDrive Gran Coupe
BMW,M,X5 M
BMW,M,X6 M
BMW,X1,X1 M35i
BMW,X1,X1 sDrive28i
BMW,X1,X1 xDrive28i
BMW,X1,X1 xDrive35i
BMW,X2,X2 M35i
BMW,X2,X2 sDrive28i
BMW,X2,X2 xDrive28i
BMW,X3,X3
BMW,X3,X3 3.0i
BMW,X3,X3 3.0si
BMW,X3,X3 M
BMW,X3,X3 M Competition
BMW,X3,X3 M40i
BMW,X3,X3 sDrive 28i
BMW,X3,X3 sDrive28i
BMW,X3,X3 sDrive30i
BMW,X3,X3 xDrive28d
BMW,X3,X3 xDrive28i
BMW,X3,X3 xDrive30e
BMW,X3,X3 xDrive30i
BMW,X3,X3 xDrive35i
BMW,X4,X4 M
BMW,X4,X4 M Competition
BMW,X4,X4 M40i
BMW,X4,X4 xDrive28i
BMW,X4,X4 xDrive30i
BMW,X4,X4 xDrive35i
BMW,X5,X5
BMW,X5,X5 3.0si
BMW,X5,X5 4.6is
BMW,X5,X5 4.8i
BMW,X5,X5 4.8IS
BMW,X5,X5 M
BMW,X5,X5 M Competition
BMW,X5,X5 M50i
BMW,X5,X5 M60i xDrive
BMW,X5,X5 sDrive35i
BMW,X5,X5 sDrive40i
BMW,X5,X5 xDrive 35d
BMW,X5,X5 xDrive30i
BMW,X5,X5 xDrive35d
BMW,X5,X5 xDrive35i
BMW,X5,X5 xDrive40e
BMW,X5,X5 xDrive40i
BMW,X5,X5 xDrive45e
BMW,X5,X5 xDrive48i
BMW,X5,X5 xDrive50i
BMW,X5,X5 xDriveM
BMW,X6,X6 M
BMW,X6,X6 M Competition
BMW,X6,X6 M50i
BMW,X6,X6 M60i xDrive
BMW,X6,X6 sDrive35i
BMW,X6,X6 sDrive40i
BMW,X6,X6 xDrive35i
BMW,X6,X6 xDrive40i
BMW,X6,X6 xDrive50i
BMW,X6,X6 xDriveM
BMW,X7,Alpina XB7
BMW,X7,X7 M50i
BMW,X7,X7 M60i xDrive
BMW,X7,X7 xDrive40i
BMW,X7,X7 xDrive50i
BMW,XM,XM
BMW,Z3,Z3 Coupe
BMW,Z3,Z3 Roadster
BMW,Z4,Z4 3.0i
BMW,Z4,Z4 3.0si
BMW,Z4,Z4 3.0si Coupe
BMW,Z4,Z4 Coupe
BMW,Z4,Z4 M Coupe
BMW,Z4,Z4 M Roadster
BMW,Z4,Z4 M40i
BMW,Z4,Z4 Roadster
BMW,Z4,Z4 sDrive28i
BMW,Z4,Z4 sDrive30i
